Rank,Word,Part of speech,Frequency,Dispersion
1,the,a,22038615,0.98
2,be,v,12545825,0.97
3,and,c,10741073,0.99
4,of,i,10343885,0.97
5,a,a,10144200,0.98
6,in,i,6996437,0.98
7,to,t,6332195,0.98
8,have,v,4303955,0.97
9,to,i,3856916,0.99
10,it,p,3872477,0.96
11,I,p,3978265,0.93
12,that,c,3430996,0.97
13,for,i,3281454,0.98
14,you,p,3081151,0.92
15,he,p,2909254,0.94
16,with,i,2683014,0.99
17,on,i,2485306,0.99
18,do,v,2573587,0.95
19,say,v,1915138,0.95
20,this,d,1885366,0.96
21,they,p,1865580,0.96
22,at,i,1767638,0.98
23,but,c,1776767,0.97
24,we,p,1820935,0.94
25,his,a,1801708,0.95
26,from,i,1635914,0.99
27,that,d,1712406,0.94
28,not,x,1638830,0.98
29,n't,x,1619007,0.97
30,by,i,1490548,0.96
31,she,p,1484869,0.91
32,or,c,1379320,0.97
33,as,c,1296879,0.98
34,what,d,1181023,0.94
35,go,v,1151045,0.93
36,their,a,1083029,0.97
37,can,v,1022775,0.98
38,who,p,1018283,0.97
39,get,v,992596,0.94
40,if,c,933542,0.97
41,would,v,925515,0.97
42,her,a,969591,0.91
43,all,d,892102,0.98
44,my,a,919821,0.93
45,make,v,857168,0.98
46,about,i,874406,0.96
47,know,v,892535,0.93
48,will,v,824568,0.97
49,as,i,829018,0.95
50,up,r,795534,0.95
